120,Foz do Jordão,FOZ DO JORDAO,,
121,Francisco Alves,FRANCISCO ALVES,,
122,Francisco Beltrão,FRANCISCO BELTRAO,1,0
123,Fênix,FENIX,,
124,General Carneiro,GENERAL CARNEIRO,,
125,Godoy Moreira,GODOY MOREIRA,,
126,Goioerê,GOIOERE,3,0
127,Goioxim,GOIOXIM,,
128,Grandes Rios,GRANDES RIOS,,
129,Guairaçá,GUAIRACA,,
130,Guamiranga,GUAMIRANGA,,
131,Guapirama,GUAPIRAMA,,
132,Guaporema,GUAPOREMA,,
133,Guaraci,GUARACI,,
134,Guaraniaçu,GUARANIACU,3,0
135,Guarapuava,GUARAPUAVA,1,0
136,Guaraqueçaba,GUARAQUECABA,,
137,Guaratuba,GUARATUBA,,
138,Guaíra,GUAIRA,2,0
139,Honório Serpa,HONORIO SERPA,,
140,Ibaiti,IBAITI,1,0
141,Ibema,IBEMA,1,0
142,Ibiporã,IBIPORA,,
143,Icaraíma,ICARAIMA,,
144,Iguaraçu,IGUARACU,,
145,Iguatu,IGUATU,,
146,Imbaú,IMBAU,,
147,Imbituva,IMBITUVA,,
148,Inajá,INAJA,,
149,Indianópolis,INDIANOPOLIS,,
150,Inácio Martins,INACIO MARTINS,,
151,Ipiranga,IPIRANGA,,
152,Iporã,IPORA,,
153,Iracema do Oeste,IRACEMA DO OESTE,,
154,Irati,IRATI,,
155,Iretama,IRETAMA,1,1
156,Itaguajé,ITAGUAJE,,
157,Itaipulândia,ITAIPULANDIA,,
158,Itambaracá,ITAMBARACA,,
159,Itambé,ITAMBE,,
160,Itapejara d'Oeste,ITAPEJARA D'OESTE,,
161,Itaperuçu,ITAPERUCU,,
162,Itaúna do Sul,ITAUNA DO SUL,,
163,Ivaiporã,IVAIPORA,1,0
164,Ivatuba,IVATUBA,,
165,Ivaté,IVATE,,
166,Ivaí,IVAI,,
167,Jaboti,JABOTI,,
168,Jacarezinho,JACAREZINHO,,
169,Jaguapitã,JAGUAPITA,,
170,Jaguariaíva,JAGUARIAIVA,,
171,Jandaia do Sul,JANDAIA DO SUL,,
172,Janiópolis,JANIOPOLIS,,
173,Japira,JAPIRA,,
174,Japurá,JAPURA,,
175,Jardim Alegre,JARDIM ALEGRE,,
176,Jardim Olinda,JARDIM OLINDA,,
177,Jataizinho,JATAIZINHO,,
178,Jesuítas,JESUITAS,,
179,Joaquim Távora,JOAQUIM TAVORA,,
180,Jundiaí do Sul,JUNDIAI DO SUL,,
181,Juranda,JURANDA,,
182,Jussara,JUSSARA,,
183,Kaloré,KALORE,,
184,Lapa,LAPA,2,0
185,Laranjal,LARANJAL,,
186,Laranjeiras do Sul,LARANJEIRAS DO SUL,,
187,Leópolis,LEOPOLIS,1,0
188,Lidianópolis,LIDIANOPOLIS,,
189,Lindoeste,LINDOESTE,,
190,Loanda,LOANDA,,
191,Lobato,LOBATO,,
192,Londrina,LONDRINA,62,3
193,Luiziana,LUIZIANA,,
194,Lunardelli,LUNARDELLI,,
195,Lupionópolis,LUPIONOPOLIS,,
196,Mallet,MALLET,,
197,Mamborê,MAMBORE,,
198,Mandaguari,MANDAGUARI,,
199,Mandaguaçu,MANDAGUACU,,
200,Mandirituba,MANDIRITUBA,2,0
201,Manfrinópolis,MANFRINOPOLIS,,
202,Mangueirinha,MANGUEIRINHA,,
203,Manoel Ribas,MANOEL RIBAS,1,0
204,Marechal Cândido Rondon,MARECHAL CANDIDO RONDON,2,0
205,Maria Helena,MARIA HELENA,,
206,Marialva,MARIALVA,,
207,Marilena,MARILENA,,
208,Mariluz,MARILUZ,,
209,Marilândia do Sul,MARILANDIA DO SUL,,
210,Maringá,MARINGA,27,4
211,Maripá,MARIPA,,
212,Mariópolis,MARIOPOLIS,2,0
213,Marmeleiro,MARMELEIRO,,
214,Marquinho,MARQUINHO,,
215,Marumbi,MARUMBI,1,0
216,Matelândia,MATELANDIA,,
217,Matinhos,MATINHOS,2,0
218,Mato Rico,MATO RICO,,
219,Mauá da Serra,MAUA DA SERRA,,
220,Medianeira,MEDIANEIRA,4,0
221,Mercedes,MERCEDES,,
222,Mirador,MIRADOR,,
223,Miraselva,MIRASELVA,,
224,Missal,MISSAL,,
225,Moreira Sales,MOREIRA SALES,,
226,Morretes,MORRETES,,
227,Munhoz de Melo,MUNHOZ DE MELO,,
228,Nossa Senhora das Graças,NOSSA SENHORA DAS GRACAS,,
229,Nova Aliança do Ivaí,NOVA ALIANCA DO IVAI,,
230,Nova América da Colina,NOVA AMERICA DA COLINA,,
231,Nova Aurora,NOVA AURORA,,
232,Nova Cantu,NOVA CANTU,,
233,Nova Esperança,NOVA ESPERANCA,,
234,Nova Esperança do Sudoeste,NOVA ESPERANCA DO SUDOESTE,,
235,Nova Fátima,NOVA FATIMA,,
236,Nova Laranjeiras,NOVA LARANJEIRAS,,
237,Nova Londrina,NOVA LONDRINA,,
238,Nova Olímpia,NOVA OLIMPIA,,
