MUNICÍPIO,CONFIRMADOS,ÓBITOS,DESCARTADOS,EM INVESTIGAÇÃO,TOTAL
IPORA,,,3,0,3
IVATE,,,1,0,1
MARIA HELENA,,,2,0,2
MARILUZ,,,0,3,3
NOVA OLIMPIA,,,4,0,4
PEROLA,,,3,0,3
SAO JORGE DO PATROCINIO,,,1,0,1
UMUARAMA,2,,92,1,95
XAMBRE,,,2,0,2
CIANORTE,13,1,49,3,65
GUAPOREMA,,,1,0,1
JAPURA,,,6,0,6
JUSSARA,,,2,0,2
RONDON,,,1,1,2
SAO MANOEL DO PARANA,1,,0,1,2
SAO TOME,,,3,0,3
TAPEJARA,,,1,0,1
ALTO PARANA,,,8,0,8
CRUZEIRO DO SUL,,,0,1,1
DIAMANTE DO NORTE,,,1,0,1
LOANDA,,,5,0,5
MARILENA,,,4,0,4
MIRADOR,,,0,1,1
NOVA LONDRINA,,,4,0,4
PARAISO DO NORTE,,,4,1,5
PARANAVAI,4,,43,9,56
PORTO RICO,,,1,0,1
QUERENCIA DO NORTE,,,2,0,2
SANTA ISABEL DO IVAI,,,2,0,2
SANTA MONICA,,,0,1,1
SANTO ANTONIO DO CAIUA,,,2,0,2
SAO CARLOS DO IVAI,,,1,0,1
SAO JOAO DO CAIUA,,,7,2,9
SAO PEDRO DO PARANA,,,1,0,1
TAMBOARA,,,1,0,1
TERRA RICA,1,,3,0,4
ASTORGA,,,9,1,10
ATALAIA,,,1,0,1
DOUTOR CAMARGO,,,2,0,2
FLORESTA,,,2,0,2
FLORIDA,,,2,0,2
IGUARACU,,,1,0,1
ITAMBE,,,0,1,1
IVATUBA,,,2,0,2
LOBATO,,,1,0,1
MANDAGUACU,,,10,0,10
MANDAGUARI,,,6,0,6
MARIALVA,,,9,1,10
MARINGA,27,4,172,11,210
MUNHOZ DE MELO,,,1,0,1
NOVA ESPERANCA,,,2,2,4
PAICANDU,1,,8,1,10
PARANACITY,,,2,0,2
SANTA FE,6,1,1,3,10
SANTO INACIO,,,2,0,2
SARANDI,2,,43,9,54
APUCARANA,,,23,2,25
ARAPONGAS,9,,31,11,51
BOM SUCESSO,,,1,0,1
BORRAZOPOLIS,,,0,2,2
FAXINAL,1,,4,0,5
JANDAIA DO SUL,,,6,0,6
KALORE,,,2,0,2
MARILANDIA DO SUL,,,3,0,3
MARUMBI,1,,2,0,3
MAUA DA SERRA,,,2,0,2
SABAUDIA,,,0,2,2
SAO PEDRO DO IVAI,,,5,0,5
ALVORADA DO SUL,,,4,0,4
ASSAI,,,3,0,3
BELA VISTA DO PARAISO,,,3,0,3
CAMBE,4,,35,4,43
FLORESTOPOLIS,,,2,0,2
IBIPORA,,,22,0,22
JAGUAPITA,,,14,0,14
JATAIZINHO,,,5,1,6
LONDRINA,62,3,177,11,250
PITANGUEIRAS,,,2,0,2
PORECATU,,,5,0,5
PRIMEIRO DE MAIO,1,1,5,0,6
ROLANDIA,1,,12,0,13
SERTANOPOLIS,,,7,1,8
TAMARANA,,,1,0,1
ABATIA,,,2,0,2
ANDIRA,,,9,1,10
BANDEIRANTES,2,,15,5,22
CONGONHINHAS,,,2,0,2
CORNELIO PROCOPIO,1,,55,10,66
ITAMBARACA,,,0,2,2
LEOPOLIS,1,,3,3,7
NOVA AMERICA DA COLINA,,,2,0,2
NOVA FATIMA,,,6,2,8
NOVA SANTA BARBARA,,,1,0,1
RANCHO ALEGRE,,,1,0,1
RIBEIRAO DO PINHAL,,,2,0,2
SANTA AMELIA,,,2,0,2
SANTA CECILIA DO PAVAO,,,2,0,2
SANTA MARIANA,,,7,0,7
SANTO ANTONIO DO PARAISO,,,1,0,1
SAO JERONIMO DA SERRA,,,1,0,1
SAO SEBASTIAO DA AMOREIRA,,,1,1,2
SAPOPEMA,,,2,0,2
SERTANEJA,1,,5,1,7
URAI,,,3,1,4
BARRA DO JACARE,,,1,0,1
CAMBARA,,,4,1,5
CONSELHEIRO MAIRINCK,,,1,0,1
FIGUEIRA,,,1,1,2
GUAPIRAMA,,,3,0,3
IBAITI,1,,11,1,13
JABOTI,,,1,0,1
JACAREZINHO,,,25,6,31
JAPIRA,,,6,0,6
JOAQUIM TAVORA,,,3,0,3
QUATIGUA,2,1,5,0,7
RIBEIRAO CLARO,,,2,0,2
SANTANA DO ITARARE,,,1,4,5
SANTO ANTONIO DA PLATINA,,,17,2,19
SAO JOSE DA BOA VISTA,,,2,0,2
SIQUEIRA CAMPOS,,,10,0,10
TOMAZINA,,,2,0,2
WENCESLAU BRAZ,,,1,1,2
ASSIS CHATEAUBRIAND,5,,23,3,31
ENTRE RIOS DO OESTE,,,2,0,2
GUAIRA,2,,22,2,26
MARECHAL CANDIDO RONDON,2,,6,0,8
MARIPA,,,2,0,2
MERCEDES,,,4,0,4
OURO VERDE DO OESTE,,,1,0,1
PALOTINA,,,10,0,10
PATO BRAGADO,,,1,1,2
QUATRO PONTES,,,1,0,1
SANTA HELENA,,,4,0,4
SAO PEDRO DO IGUACU,,,2,0,2
TERRA ROXA,,,4,0,4
TOLEDO,1,,54,11,66
TUPASSI,,,1,0,1
CURIUVA,,,11,1,12
IMBAU,,,10,0,10
ORTIGUEIRA,,,6,2,8
RESERVA,,,9,2,11
TELEMACO BORBA,6,,96,6,108
TIBAGI,,,5,1,6
VENTANIA,,,2,0,2
ARIRANHA DO IVAI,,,1,0,1
CANDIDO DE ABREU,,,1,0,1
IVAIPORA,1,,33,12,46
JARDIM ALEGRE,,,2,0,2
LIDIANOPOLIS,,,1,0,1
LUNARDELLI,,,1,0,1
MANOEL RIBAS,1,,4,5,10
NOVA TEBAS,,,3,0,3
RIO BRANCO DO IVAI,,,2,0,2
SANTA MARIA DO OESTE,,,6,0,6
SAO JOAO DO IVAI,3,,1,0,4
