ordem_brasil_io,codigo_municipio,municipio,municipio_brasil_io,municipio_sesa
99,7207,Dois Vizinhos,Dois Vizinhos,DOIS VIZINHOS
100,7256,Douradina,Douradina,DOURADINA
101,7306,Doutor Camargo,Doutor Camargo,DOUTOR CAMARGO
102,28633,Doutor Ulysses,Doutor Ulysses,DOUTOR ULYSSES
103,7504,Engenheiro Beltrão,Engenheiro Beltrão,ENGENHEIRO BELTRAO
104,7538,Entre Rios do Oeste,Entre Rios do Oeste,ENTRE RIOS DO OESTE
105,7405,Enéas Marques,Enéas Marques,ENEAS MARQUES
106,7520,Esperança Nova,Esperança Nova,ESPERANCA NOVA
107,7546,Espigão Alto do Iguaçu,Espigão Alto do Iguaçu,ESPIGAO ALTO DO IGUACU
108,7553,Farol,Farol,FAROL
109,7603,Faxinal,Faxinal,FAXINAL
110,7652,Fazenda Rio Grande,Fazenda Rio Grande,FAZENDA RIO GRANDE
111,7736,Fernandes Pinheiro,Fernandes Pinheiro,FERNANDES PINHEIRO
112,7751,Figueira,Figueira,FIGUEIRA
113,7850,Flor da Serra do Sul,Flor da Serra do Sul,FLOR DA SERRA DO SUL
114,7801,Floraí,Floraí,FLORAI
115,7900,Floresta,Floresta,FLORESTA
116,8007,Florestópolis,Florestópolis,FLORESTOPOLIS
117,8106,Flórida,Flórida,FLORIDA
118,8205,Formosa do Oeste,Formosa do Oeste,FORMOSA DO OESTE
119,8304,Foz do Iguaçu,Foz do Iguaçu,FOZ DO IGUACU
120,8452,Foz do Jordão,Foz do Jordão,FOZ DO JORDAO
121,8320,Francisco Alves,Francisco Alves,FRANCISCO ALVES
122,8403,Francisco Beltrão,Francisco Beltrão,FRANCISCO BELTRAO
123,7702,Fênix,Fênix,FENIX
124,8502,General Carneiro,General Carneiro,GENERAL CARNEIRO
125,8551,Godoy Moreira,Godoy Moreira,GODOY MOREIRA
126,8601,Goioerê,Goioerê,GOIOERE
127,8650,Goioxim,Goioxim,GOIOXIM
128,8700,Grandes Rios,Grandes Rios,GRANDES RIOS
129,8908,Guairaçá,Guairaçá,GUAIRACA
130,8957,Guamiranga,Guamiranga,GUAMIRANGA
131,9005,Guapirama,Guapirama,GUAPIRAMA
132,9104,Guaporema,Guaporema,GUAPOREMA
133,9203,Guaraci,Guaraci,GUARACI
134,9302,Guaraniaçu,Guaraniaçu,GUARANIACU
135,9401,Guarapuava,Guarapuava,GUARAPUAVA
136,9500,Guaraqueçaba,Guaraqueçaba,GUARAQUECABA
137,9609,Guaratuba,Guaratuba,GUARATUBA
138,8809,Guaíra,Guaíra,GUAIRA
139,9658,Honório Serpa,Honório Serpa,HONORIO SERPA
140,9708,Ibaiti,Ibaiti,IBAITI
141,9757,Ibema,Ibema,IBEMA
142,9807,Ibiporã,Ibiporã,IBIPORA
143,9906,Icaraíma,Icaraíma,ICARAIMA
144,10003,Iguaraçu,Iguaraçu,IGUARACU
145,10052,Iguatu,Iguatu,IGUATU
146,10078,Imbaú,Imbaú,IMBAU
147,10102,Imbituva,Imbituva,IMBITUVA
148,10300,Inajá,Inajá,INAJA
149,10409,Indianópolis,Indianópolis,INDIANOPOLIS
150,10201,Inácio Martins,Inácio Martins,INACIO MARTINS
151,10508,Ipiranga,Ipiranga,IPIRANGA
152,10607,Iporã,Iporã,IPORA
153,10656,Iracema do Oeste,Iracema do Oeste,IRACEMA DO OESTE
154,10706,Irati,Irati,IRATI
155,10805,Iretama,Iretama,IRETAMA
156,10904,Itaguajé,Itaguajé,ITAGUAJE
157,10953,Itaipulândia,Itaipulândia,ITAIPULANDIA
158,11001,Itambaracá,Itambaracá,ITAMBARACA
159,11100,Itambé,Itambé,ITAMBE
160,11209,Itapejara d'Oeste,Itapejara d'Oeste,ITAPEJARA D'OESTE
161,11258,Itaperuçu,Itaperuçu,ITAPERUCU
162,11308,Itaúna do Sul,Itaúna do Sul,ITAUNA DO SUL
163,11506,Ivaiporã,Ivaiporã,IVAIPORA
164,11605,Ivatuba,Ivatuba,IVATUBA
165,11555,Ivaté,Ivaté,IVATE
166,11407,Ivaí,Ivaí,IVAI
167,11704,Jaboti,Jaboti,JABOTI
168,11803,Jacarezinho,Jacarezinho,JACAREZINHO
169,11902,Jaguapitã,Jaguapitã,JAGUAPITA
170,12009,Jaguariaíva,Jaguariaíva,JAGUARIAIVA
171,12108,Jandaia do Sul,Jandaia do Sul,JANDAIA DO SUL
172,12207,Janiópolis,Janiópolis,JANIOPOLIS
173,12306,Japira,Japira,JAPIRA
174,12405,Japurá,Japurá,JAPURA
175,12504,Jardim Alegre,Jardim Alegre,JARDIM ALEGRE
176,12603,Jardim Olinda,Jardim Olinda,JARDIM OLINDA
177,12702,Jataizinho,Jataizinho,JATAIZINHO
178,12751,Jesuítas,Jesuítas,JESUITAS
179,12801,Joaquim Távora,Joaquim Távora,JOAQUIM TAVORA
180,12900,Jundiaí do Sul,Jundiaí do Sul,JUNDIAI DO SUL
181,12959,Juranda,Juranda,JURANDA
182,13007,Jussara,Jussara,JUSSARA
183,13106,Kaloré,Kaloré,KALORE
184,13205,Lapa,Lapa,LAPA
185,13254,Laranjal,Laranjal,LARANJAL
186,13304,Laranjeiras do Sul,Laranjeiras do Sul,LARANJEIRAS DO SUL
187,13403,Leópolis,Leópolis,LEOPOLIS
188,13429,Lidianópolis,Lidianópolis,LIDIANOPOLIS
189,13452,Lindoeste,Lindoeste,LINDOESTE
190,13502,Loanda,Loanda,LOANDA
191,13601,Lobato,Lobato,LOBATO
192,13700,Londrina,Londrina,LONDRINA
193,13734,Luiziana,Luiziana,LUIZIANA
194,13759,Lunardelli,Lunardelli,LUNARDELLI
195,13809,Lupionópolis,Lupionópolis,LUPIONOPOLIS
196,13908,Mallet,Mallet,MALLET
197,14005,Mamborê,Mamborê,MAMBORE
198,14203,Mandaguari,Mandaguari,MANDAGUARI
199,14104,Mandaguaçu,Mandaguaçu,MANDAGUACU
200,14302,Mandirituba,Mandirituba,MANDIRITUBA
201,14351,Manfrinópolis,Manfrinópolis,MANFRINOPOLIS
202,14401,Mangueirinha,Mangueirinha,MANGUEIRINHA
203,14500,Manoel Ribas,Manoel Ribas,MANOEL RIBAS
204,14609,Marechal Cândido Rondon,Marechal Cândido Rondon,MARECHAL CANDIDO RONDON
205,14708,Maria Helena,Maria Helena,MARIA HELENA
206,14807,Marialva,Marialva,MARIALVA
207,15002,Marilena,Marilena,MARILENA
208,15101,Mariluz,Mariluz,MARILUZ
209,14906,Marilândia do Sul,Marilândia do Sul,MARILANDIA DO SUL
210,15200,Maringá,Maringá,MARINGA
211,15358,Maripá,Maripá,MARIPA
212,15309,Mariópolis,Mariópolis,MARIOPOLIS
213,15408,Marmeleiro,Marmeleiro,MARMELEIRO
214,15457,Marquinho,Marquinho,MARQUINHO
215,15507,Marumbi,Marumbi,MARUMBI
216,15606,Matelândia,Matelândia,MATELANDIA
217,15705,Matinhos,Matinhos,MATINHOS
218,15739,Mato Rico,Mato Rico,MATO RICO
219,15754,Mauá da Serra,Mauá da Serra,MAUA DA SERRA
220,15804,Medianeira,Medianeira,MEDIANEIRA
221,15853,Mercedes,Mercedes,MERCEDES
222,15903,Mirador,Mirador,MIRADOR
223,16000,Miraselva,Miraselva,MIRASELVA
224,16059,Missal,Missal,MISSAL
225,16109,Moreira Sales,Moreira Sales,MOREIRA SALES
226,16208,Morretes,Morretes,MORRETES
227,16307,Munhoz de Melo,Munhoz de Melo,MUNHOZ DE MELO
228,16406,Nossa Senhora das Graças,Nossa Senhora das Graças,NOSSA SENHORA DAS GRACAS
229,16505,Nova Aliança do Ivaí,Nova Aliança do Ivaí,NOVA ALIANCA DO IVAI
230,16604,Nova América da Colina,Nova América da Colina,NOVA AMERICA DA COLINA
231,16703,Nova Aurora,Nova Aurora,NOVA AURORA
232,16802,Nova Cantu,Nova Cantu,NOVA CANTU
233,16901,Nova Esperança,Nova Esperança,NOVA ESPERANCA
234,16950,Nova Esperança do Sudoeste,Nova Esperança do Sudoeste,NOVA ESPERANCA DO SUDOESTE
235,17008,Nova Fátima,Nova Fátima,NOVA FATIMA
236,17057,Nova Laranjeiras,Nova Laranjeiras,NOVA LARANJEIRAS
237,17107,Nova Londrina,Nova Londrina,NOVA LONDRINA
238,17206,Nova Olímpia,Nova Olímpia,NOVA OLIMPIA
239,17255,Nova Prata do Iguaçu,Nova Prata do Iguaçu,NOVA PRATA DO IGUACU
240,17214,Nova Santa Bárbara,Nova Santa Bárbara,NOVA SANTA BARBARA
241,17222,Nova Santa Rosa,Nova Santa Rosa,NOVA SANTA ROSA
242,17271,Nova Tebas,Nova Tebas,NOVA TEBAS
243,17297,Novo Itacolomi,Novo Itacolomi,NOVO ITACOLOMI
244,17305,Ortigueira,Ortigueira,ORTIGUEIRA
245,17404,Ourizona,Ourizona,OURIZONA
246,17453,Ouro Verde do Oeste,Ouro Verde do Oeste,OURO VERDE DO OESTE
247,17503,Paiçandu,Paiçandu,PAICANDU
248,17602,Palmas,Palmas,PALMAS
249,17701,Palmeira,Palmeira,PALMEIRA
250,17800,Palmital,Palmital,PALMITAL
251,17909,Palotina,Palotina,PALOTINA
252,18105,Paranacity,Paranacity,PARANACITY
253,18204,Paranaguá,Paranaguá,PARANAGUA
254,18303,Paranapoema,Paranapoema,PARANAPOEMA
255,18402,Paranavaí,Paranavaí,PARANAVAI
256,18006,Paraíso do Norte,Paraíso do Norte,PARAISO DO NORTE
257,18451,Pato Bragado,Pato Bragado,PATO BRAGADO
258,18501,Pato Branco,Pato Branco,PATO BRANCO
259,18600,Paula Freitas,Paula Freitas,PAULA FREITAS
260,18709,Paulo Frontin,Paulo Frontin,PAULO FRONTIN
261,18808,Peabiru,Peabiru,PEABIRU
262,18857,Perobal,Perobal,PEROBAL
263,19152,Pinhais,Pinhais,PINHAIS
264,19251,Pinhal de São Bento,Pinhal de São Bento,PINHAL DE SAO BENTO
265,19202,Pinhalão,Pinhalão,PINHALAO
266,19301,Pinhão,Pinhão,PINHAO
267,19509,Piraquara,Piraquara,PIRAQUARA
268,19400,Piraí do Sul,Piraí do Sul,PIRAI DO SUL
269,19608,Pitanga,Pitanga,PITANGA
270,19657,Pitangueiras,Pitangueiras,PITANGUEIRAS
271,19103,Piên,Piên,PIEN
